AreaID,TreatmentID,score_all,score_area,diff_all_area,better_all_area,score_groupA,diff_all_groupA,better_all_groupA,score_groupB,diff_all_groupB,diff_groupA_groupB,better_all_groupB,better_groupA_groupB
184,5,73.12702251,73.6339947,0.231684526,0,73.8430998,0.022579456,0,73.1072974,0.758381864,0.735802407,0,0
184,6,76.65337617,78.1607188,-0.733066091,1,81.9302866,-4.502633847,1,69.0896773,8.337975446,12.84060929,0,0
184,7,3.154807062,4.3413626,-1.154688801,1,4.7400288,-1.553355027,1,2.8513189,0.335354837,1.888709863,0,0
184,8,1.276312554,1.515595,-0.226390457,1,1.6235253,-0.334320734,1,1.2934687,-0.004264127,0.330056607,1,0
185,1,88.32738945,71.7314176,17.48816764,0,67.1446795,22.07490575,0,83.2316623,5.987923018,-16.08698273,0,1
185,2,41.07998525,38.4873177,3.007616966,0,35.3105223,6.18441233,0,41.9494038,-0.454469179,-6.638881509,1,1
185,3,70.83398114,72.1427799,-0.593303962,1,74.0605537,-2.511077806,1,67.3562767,4.193199172,6.704276977,0,0
185,4,90.06502973,76.9449078,14.0298697,0,73.9819724,16.99280511,0,84.373588,6.601189568,-10.39161554,0,1
185,5,73.12702251,74.2952186,-0.429539364,1,75.336004,-1.470324747,1,71.8470722,2.01860703,3.488931777,0,0
185,6,76.65337617,77.4508101,-0.023157374,1,82.351872,-4.924219266,1,66.4123476,11.01530506,15.93952433,0,0
185,7,3.154807062,3.5558383,-0.369164585,1,3.7601577,-0.57348395,1,2.6802712,0.506402545,1.079886494,0,0
185,8,1.276312554,1.7623657,-0.473161146,1,1.7166061,-0.427401497,1,1.8526031,-0.563398531,-0.135997034,1,1
187,1,88.32738945,89.8977545,-0.678169215,1,90.4138102,-1.194224946,1,89.4681339,-0.248548605,0.945676341,1,0
187,2,41.07998525,45.4879493,-3.993014691,1,43.8132715,-2.318336835,1,46.3289629,-4.8340283,-2.515691465,1,1
187,3,70.83398114,69.3931863,2.15628966,0,72.338999,-0.789523047,1,66.9410354,4.608440535,5.397963582,0,0
187,4,90.06502973,92.8137135,-1.838935944,1,92.2277624,-1.252984853,1,93.3015166,-2.326739027,-1.073754174,1,1
187,5,73.12702251,75.3501445,-1.484465227,1,75.6522283,-1.786549058,1,75.1159171,-1.250237787,0.536311271,1,0
187,6,76.65337617,77.1569827,0.270670039,0,82.0611444,-4.633491693,1,73.4151622,4.012490481,8.645982174,0,0
187,7,3.154807062,2.1384773,1.048196434,0,2.2644767,0.922197071,0,1.9197135,1.266960238,0.344763167,0,0
187,8,1.276312554,1.0808757,0.208328916,0,1.0020877,0.287116888,0,1.1427711,0.146433498,-0.14068339,0,1
189,1,88.32738945,88.68437,0.535215331,0,89.4389774,-0.219392161,1,88.3585525,0.861032755,1.080424915,0,0
189,2,41.07998525,42.6714326,-1.176497978,1,43.4524933,-1.957558693,1,42.4493471,-0.954412509,1.003146185,1,0
189,3,70.83398114,71.8095329,-0.260056951,1,73.2713439,-1.72186797,1,71.179248,0.37022796,2.092095931,0,0
189,4,90.06502973,91.7392775,-0.764499973,1,90.9044908,0.070286759,0,92.0919078,-1.117130295,-1.187417054,1,1
189,5,73.12702251,74.5533211,-0.687641875,1,72.3114555,1.554223727,0,75.5095476,-1.643868337,-3.198092064,1,1
189,6,76.65337617,68.8444454,8.583207334,0,76.2483096,1.179343098,0,65.9406831,11.4869696,10.3076265,0,0
189,7,3.154807062,2.3819909,0.80468286,0,2.6487973,0.537876462,0,2.0417173,1.144956417,0.607079954,0,0
189,8,1.276312554,1.0357155,0.253489107,0,1.2052589,0.083945717,0,0.9698303,0.319374276,0.23542856,0,0
191,1,88.32738945,90.7174757,-1.497890428,1,91.0149535,-1.795368218,1,90.1139248,-0.894339516,0.901028703,1,0
191,2,41.07998525,43.7780198,-2.283085165,1,43.87942,-2.38448535,1,43.6718804,-2.176945738,0.207539613,1,0
191,3,70.83398114,68.8390559,2.710420028,0,70.1184209,1.431055025,0,66.2108066,5.33866927,3.907614245,0,0
191,4,90.06502973,92.9510365,-1.976258922,1,92.4746562,-1.49987863,1,93.9320888,-2.957311301,-1.45743267,1,1
191,5,73.12702251,77.4781327,-3.612453433,1,77.3678922,-3.50221289,1,77.6947513,-3.829071985,-0.326859094,1,1
191,6,76.65337617,77.7985525,-0.370899773,1,80.6938066,-3.266153931,1,72.4836038,4.944048858,8.210202789,0,0
191,7,3.154807062,5.387691,-2.201017267,1,5.8626808,-2.676007077,1,3.3253253,-0.13865153,2.537355547,1,0
191,8,1.276312554,1.5641268,-0.274922247,1,1.6534387,-0.364234154,1,1.4442948,-0.155090249,0.209143905,1,0
192,1,88.32738945,91.3291997,-2.109614393,1,91.6441711,-2.424585831,1,90.9741759,-1.754590613,0.669995218,1,0
192,2,41.07998525,45.5378577,-4.042923122,1,45.5136493,-4.018714629,1,45.5580057,-4.063071062,-0.044356433,1,1
192,3,70.83398114,74.7114408,-3.161964856,1,76.648623,-5.099147116,1,72.521106,-0.971630099,4.127517018,1,0
192,4,90.06502973,94.5580136,-3.583236027,1,94.4680066,-3.493229016,1,94.6599164,-3.685138879,-0.191909864,1,1
192,5,73.12702251,78.5673997,-4.701720386,1,79.1065082,-5.240828892,1,77.9757298,-4.110050581,1.13077831,1,0
192,6,76.65337617,75.3720196,2.055633062,0,79.1409802,-1.713327496,1,71.2495744,6.178078348,7.891405844,0,0
192,7,3.154807062,2.8118739,0.37479985,0,2.8744726,0.312201174,0,2.6899941,0.496679656,0.184478482,0,0
192,8,1.276312554,1.2225304,0.066674201,0,1.1448587,0.144345855,0,1.2978739,-0.008669315,-0.15301517,1,1
193,1,88.32738945,83.9795912,5.239994082,0,84.1966469,5.022938423,0,82.8472658,6.372319458,1.349381035,0,0
193,2,41.07998525,38.7753623,2.719572313,0,38.5780542,2.916880425,0,39.3944668,2.100467844,-0.816412581,0,1
193,3,70.83398114,72.4978355,-0.948359543,1,73.513672,-1.964196086,1,67.1353713,4.414104592,6.378300678,0,0
